node_id,osm_node_id,lng,lat
537,42431151,-74.006334,40.739631
538,42440838,-74.0063071,40.7225617
539,272195271,-74.0063041,40.7141733
540,42444230,-74.0062889,40.7042568
541,6210448865,-74.0062796,40.7343337
542,42436396,-74.0062792,40.733743
543,6210448855,-74.0062687,40.7344236
544,42452817,-74.0062505,40.7170848
545,4215665529,-74.0062383,40.722986
546,42452015,-74.0062154,40.7231321
547,246580444,-74.0062107,40.7499808
548,4207862997,-74.0062078,40.7341347
549,42429829,-74.0061645,40.7163029
550,42436400,-74.0061609,40.734439
551,42453773,-74.0061348,40.7194586
552,4602414021,-74.0061172,40.7237608
553,42423456,-74.006113,40.7237914
554,2821304145,-74.0060876,40.7120267
555,1538237248,-74.006076,40.7099178
556,42430594,-74.0060705,40.7501781
557,6210448863,-74.0060555,40.7357274
558,4616536348,-74.006055,40.7244231
559,42436404,-74.0060475,40.735133
560,6210448857,-74.0060412,40.7358319
561,1272562931,-74.0060393,40.7119161
562,42433330,-74.006021,40.707905
563,42431275,-74.0060166,40.7316248
564,42454798,-74.0060157,40.706146
565,4207150077,-74.0060126,40.7145279
566,42456583,-74.006012,40.708668
567,6280593757,-74.0059867,40.7107599
568,4207862998,-74.0059831,40.7355264
569,42434839,-74.0059661,40.7203782
570,42454381,-74.00596,40.745231
571,4616536352,-74.0059578,40.7250366
572,42445700,-74.0059515,40.7196963
573,42429353,-74.005951,40.707205
574,42436407,-74.0059318,40.735846
575,42424864,-74.0059302,40.7244132
576,42428402,-74.0058865,40.7146812
577,4557517555,-74.005864,40.740261
578,339044224,-74.0058581,40.7331346
579,247402950,-74.0058581,40.7369428
580,4616536351,-74.0058541,40.7256907
581,42427236,-74.0058474,40.7116883
582,42436411,-74.0058168,40.7365313
583,42436567,-74.0058148,40.7250234
584,5103334974,-74.0058093,40.7436413
585,42448171,-74.0057919,40.7176834
586,42436414,-74.0057723,40.7371946
587,42438781,-74.0057181,40.7217538
588,42436423,-74.0057088,40.7375527
589,42442286,-74.0057082,40.7256753
590,3236324368,-74.0056997,40.7428292
591,2821304146,-74.0056926,40.7121302
592,42427251,-74.005691,40.706375
593,6119503129,-74.0056763,40.7115274
594,4685453639,-74.0056762,40.7370178
595,6401966213,-74.0056615,40.7456418
596,42434855,-74.0056591,40.7200755
597,42445574,-74.005658,40.726435
598,4685462240,-74.0056556,40.7378489
599,42430597,-74.0056363,40.7507886
600,42436427,-74.00561,40.7381397
601,4685453636,-74.0056066,40.7375516
602,42448593,-74.005599,40.710397
603,4143851142,-74.0055874,40.7179523
604,4685462241,-74.0055866,40.7376743
605,42439345,-74.005545,40.727157
606,42427390,-74.005535,40.745816
607,6211334202,-74.0055274,40.7368828
608,42431503,-74.0055102,40.7387641
609,42452708,-74.0055072,40.705794
610,42434837,-74.0054889,40.7203422
611,42440347,-74.005482,40.707387
612,42456464,-74.005475,40.730104
613,42440280,-74.0054738,40.709095
614,4685462237,-74.0054685,40.7390464
615,42431536,-74.005461,40.7324485
616,4557517554,-74.0054494,40.7409922
617,42455200,-74.0054267,40.7278806
618,42428405,-74.00542,40.715236
619,4685453634,-74.0054159,40.7387636
620,42436431,-74.0054071,40.7394127
621,4685462238,-74.0053974,40.7388658
622,3788379733,-74.0053637,40.721888
623,42430115,-74.0053609,40.7182987
624,42430136,-74.0053546,40.7222274
625,42444897,-74.0053437,40.7409462
626,4143859865,-74.0053281,40.7217139
627,6213204061,-74.005314,40.736611
628,42448563,-74.0053112,40.7286179
629,42429394,-74.0053043,40.7400297
630,42446678,-74.0052924,40.7562891
631,42436968,-74.0052717,40.7288533
632,4143851144,-74.0052693,40.7182558
633,42430131,-74.005248,40.721025
634,42440278,-74.0052416,40.7089346
635,4685453632,-74.0052246,40.7399958
636,42430126,-74.0052198,40.7206388
637,42427254,-74.0052181,40.7059869
638,42430122,-74.0051934,40.7198568
639,278641497,-74.0051897,40.711983
640,1272562764,-74.0051846,40.7121568
641,42430600,-74.0051843,40.7513932
642,42430118,-74.0051717,40.7190194
643,42430761,-74.0051447,40.7294709
644,3236324362,-74.0051318,40.7425849
645,42431814,-74.0051271,40.7359654
646,42436439,-74.0051265,40.7408505
647,42430848,-74.0051183,40.7094091
648,42443676,-74.0051067,40.7463948
649,42431531,-74.0051065,40.7318361
650,42427239,-74.0050995,40.7109821
651,4143859873,-74.0050647,40.7216796
652,5216470727,-74.0050623,40.7230023
653,42436761,-74.0050505,40.7220398
654,247081122,-74.0050215,40.7570643
655,4555500078,-74.0050076,40.7440714
656,42440350,-74.0050009,40.7068535
657,42428408,-74.004976,40.71576
658,42431273,-74.0049377,40.7315444
659,42431812,-74.0049302,40.7352971
660,4557517550,-74.0049194,40.7416809
661,370705004,-74.0048445,40.7124759
662,4555542099,-74.0048374,40.7440004
