edge_id,start_node_id,end_node_id,osm_start_node_id,osm_end_node_id,speed_mph_mean,speed_mph_stddev,dist_meter,time_sec_mean,time_sec_stddev
5741,3301,3285,6176628861,589099881,15.31,12.63,77.37,11.30,9.32
5742,3302,3269,42428720,42428716,16.07,8.89,79.32,11.04,6.11
5743,3302,3317,42428720,1061531727,13.96,5.60,16.67,2.67,1.07
5744,3303,3324,42432540,248707601,16.25,9.90,70.42,9.70,5.91
5745,3304,3314,3834459548,42453011,13.60,7.03,12.50,2.06,1.06
5746,3305,3274,42431108,42431107,16.98,8.02,79.90,10.52,4.97
5747,3305,3331,42431108,42431111,24.25,5.13,79.94,7.37,1.56
5748,3306,3342,422438821,42455662,8.21,7.32,59.11,16.10,14.36
5749,3307,3213,596775935,42432825,11.42,6.64,144.35,28.27,16.44
5750,3307,3273,596775935,596775951,11.69,9.02,84.92,16.24,12.52
5751,3307,3273,596775935,596775951,11.90,8.85,84.92,15.97,11.88
5752,3307,3319,596775935,42432834,12.76,7.43,19.93,3.49,2.03
5753,3308,3281,3830786441,5319121991,15.30,6.61,40.41,5.91,2.55
5754,3309,3332,42442528,42442534,15.30,7.26,85.25,12.47,5.92
5755,3310,3192,42442947,4207915681,11.18,6.01,181.03,36.21,19.45
5756,3310,3282,42442947,42442943,14.56,7.28,79.63,12.23,6.12
5757,3311,3116,42421996,42422000,9.71,3.65,271.15,62.49,23.53
5758,3311,3297,42421996,4215936662,22.93,5.73,45.76,4.46,1.11
5759,3312,3296,248709820,422438817,24.48,6.51,22.60,2.06,0.55
5760,3313,3113,42435308,42437300,12.15,6.03,273.48,50.35,24.98
5761,3313,3284,42435308,42433564,18.00,9.37,80.75,10.03,5.22
5762,3313,3339,42435308,42421800,19.63,8.39,80.47,9.17,3.92
5763,3314,3320,42453011,595105531,20.60,6.22,38.22,4.15,1.25
5764,3315,3280,42445598,248709626,27.84,4.93,58.58,4.71,0.83
5765,3315,3449,42445598,3602649920,25.67,5.38,262.06,22.83,4.79
5766,3316,3340,42449956,42440463,8.39,8.10,78.95,21.06,20.33
5767,3316,3416,42449956,42442952,10.56,5.34,215.75,45.68,23.08
5768,3317,3341,1061531727,1061531730,22.74,8.24,79.64,7.83,2.84
5769,3317,3377,1061531727,42433252,11.95,5.84,129.07,24.17,11.83
5770,3318,3292,42431649,42429970,15.62,8.16,79.80,11.43,5.97
5771,3318,3391,42431649,42431650,7.29,5.34,154.33,47.33,34.65
5772,3319,3307,42432834,596775935,11.76,8.93,19.93,3.79,2.88
5773,3319,3345,42432834,42456598,14.71,9.07,87.10,13.25,8.17
5774,3319,3390,42432834,42432847,8.01,5.53,146.84,40.99,28.29
5775,3320,3323,595105531,3831856757,20.57,5.93,14.55,1.58,0.46
5776,3320,3338,595105531,1701844698,21.68,7.26,30.92,3.19,1.07
5777,3321,3347,42437920,42421751,11.96,6.25,86.11,16.11,8.43
5778,3322,3299,42446998,42436705,14.50,8.20,79.78,12.31,6.96
5779,3322,3400,42446998,42449963,8.71,5.47,154.33,39.63,24.88
5780,3323,3326,3831856757,1701844679,20.77,5.66,16.27,1.75,0.48
5781,3323,3352,3831856757,248708366,25.13,6.02,95.36,8.49,2.03
5782,3324,3336,248707601,248707602,16.32,9.55,30.74,4.21,2.47
5783,3325,3231,42436511,42436510,8.43,5.97,154.44,40.99,29.02
5784,3325,3348,42436511,42445961,18.04,7.61,79.25,9.83,4.15
5785,3326,3329,1701844679,1701844687,20.88,5.80,17.98,1.93,0.54
5786,3327,3244,42428723,42431106,10.35,5.62,129.68,28.03,15.21
5787,3327,3302,42428723,42428720,17.84,9.54,79.61,9.98,5.33
5788,3328,3178,42450699,370912817,30.09,12.34,583.67,43.39,17.80
5789,3329,3350,1701844687,42455929,15.02,9.16,76.89,11.45,6.98
5790,3330,3295,42450814,1577501048,17.54,9.55,65.11,8.30,4.52
5791,3330,3301,42450814,6176628861,13.92,11.80,80.19,12.89,10.93
5792,3331,3305,42431111,42431108,12.32,9.46,79.94,14.51,11.14
5793,3331,3351,42431111,42431113,23.50,6.47,78.75,7.50,2.06
5794,3331,3393,42431111,42428737,12.35,4.02,127.70,23.13,7.53
5795,3332,3287,42442534,4205805396,8.31,5.81,83.84,22.57,15.79
5796,3332,3358,42442534,42442542,17.85,7.64,87.83,11.01,4.71
5797,3332,3474,42442534,42443381,17.23,5.79,270.80,35.15,11.82
5798,3333,3307,596775941,596775935,13.31,8.67,87.15,14.64,9.53
5799,3333,3345,596775941,42456598,9.72,7.51,21.29,4.90,3.79
5800,3334,3382,589099584,3734911590,32.91,16.46,128.60,8.74,4.37
5801,3335,3310,42434090,42442947,12.76,7.15,80.27,14.07,7.88
5802,3335,3450,42434090,42434092,8.56,6.56,230.54,60.26,46.18
5803,3336,3353,248707602,42445804,13.54,10.08,69.54,11.49,8.55
5804,3337,3311,42437050,42421996,21.74,7.43,80.00,8.23,2.81
5805,3337,3477,42437050,42431447,11.38,4.53,274.34,53.90,21.47
5806,3338,3343,1701844698,595105538,20.96,9.78,10.30,1.10,0.51
5807,3338,3356,1701844698,3831856768,25.89,5.98,78.99,6.82,1.58
5808,3339,3313,42421800,42435308,17.83,9.24,80.47,10.10,5.23
5809,3339,3359,42421800,42424851,14.72,8.67,80.86,12.29,7.23
5810,3340,3240,42440463,42440459,6.82,5.42,154.81,50.77,40.31
5811,3340,3360,42440463,42449961,12.37,7.79,79.12,14.31,9.01
5812,3341,3327,1061531730,42428723,13.32,6.06,16.29,2.73,1.24
5813,3341,3361,1061531730,1061531596,20.97,9.88,80.06,8.54,4.03
5814,3342,3318,42455662,42431649,11.00,8.75,79.62,16.19,12.87
5815,3342,3408,42455662,42445972,6.32,3.17,155.33,54.95,27.52
5816,3343,3363,595105538,3569749103,15.22,12.37,72.76,10.69,8.69
5817,3344,3337,4215936663,42437050,23.40,6.32,30.46,2.91,0.79
5818,3345,3366,42456598,42448317,15.23,9.43,79.41,11.66,7.22
5819,3345,3412,42456598,42447007,8.19,5.70,144.36,39.44,27.48
5820,3346,3261,4862610026,42448338,6.26,4.98,145.90,52.11,41.45
5821,3346,3322,4862610026,42446998,16.09,8.19,79.82,11.09,5.64
5822,3347,3370,42421751,42432764,17.35,7.54,85.18,10.98,4.77
5823,3347,3414,42421751,42421749,7.03,5.49,142.53,45.35,35.38
5824,3348,3368,42445961,42429971,20.19,6.16,79.45,8.80,2.68
5825,3348,3415,42445961,596775985,8.01,4.74,144.40,40.32,23.86
5826,3349,3327,42428725,42428723,19.11,9.58,79.97,9.36,4.69
5827,3349,3361,42428725,1061531596,12.63,7.12,16.74,2.97,1.67
5828,3350,3224,42455929,42442937,9.97,4.97,215.73,48.39,24.12
5829,3350,3365,42455929,248708582,19.33,6.48,26.46,3.06,1.03
5830,3350,3380,42455929,595105472,10.04,8.03,77.70,17.32,13.86
5831,3351,3266,42431113,42441903,11.38,4.40,143.68,28.23,10.90
5832,3351,3331,42431113,42431111,18.05,8.82,78.75,9.76,4.77
5833,3351,3371,42431113,42431116,22.85,6.17,80.48,7.88,2.13
5834,3352,3473,248708366,595105571,24.09,8.49,420.35,39.03,13.76
5835,3353,3251,42445804,42442939,9.56,7.46,171.52,40.14,31.30
5836,3354,3333,596775946,596775941,12.12,8.38,79.36,14.64,10.12
5837,3354,3366,596775946,42448317,10.50,8.13,21.37,4.55,3.53
5838,3355,3308,42442948,3830786441,15.67,6.00,92.33,13.18,5.05
5839,3355,3335,42442948,42434090,14.70,7.25,76.72,11.68,5.76
5840,3356,3478,3831856768,3831856767,23.83,8.73,420.02,39.43,14.45
